"order_id";"order_in_date";"value";"lead_id";"initial_status_id";"order_out_date";"final_status_id";"reason_id"
2157;"2025-08-07";2700000.0;1392025;104;"2025-08-29";107;5
2158;"2025-07-29";2800000.0;1402025;102;"2025-08-28";107;4
2159;"2025-08-09";200000.0;1412025;101;"2025-08-24";107;1
2160;"2025-08-24";800000.0;1422025;106;"2025-09-18";107;4
2161;"2025-08-08";300000.0;1482025;105;"2025-09-12";107;6
2162;"2025-08-21";640000.0;1512025;103;"2025-09-16";107;5
2163;"2025-09-05";350000.0;1532025;102;"2025-09-22";107;3
2164;"2025-09-18";400000.0;1572025;104;"2025-10-09";107;2
2165;"2025-08-26";40000.0;1582025;105;"2025-09-19";107;2
2166;"2025-09-11";2700000.0;1592025;105;"2025-10-15";107;6
2167;"2025-09-19";1500000.0;1622025;101;"2025-10-11";107;2
2168;"2025-09-25";800000.0;1642025;106;"2025-10-25";107;4
2169;"2025-09-19";20000.0;1672025;102;"2025-10-16";107;5
2170;"2025-09-26";900000.0;1702025;103;"2025-10-23";107;5
2171;"2025-09-04";300000.0;1712025;102;"2025-09-30";107;5
2172;"2025-09-27";260000.0;1722025;105;"2025-11-01";107;6
2173;"2025-09-13";250000.0;1732025;101;"2025-10-12";107;4
2174;"2025-10-02";560000.0;1742025;104;"2025-10-17";107;3
2175;"2025-09-29";800000.0;1762025;103;"2025-10-14";107;1
2176;"2025-09-13";1450000.0;1772025;103;"2025-09-26";107;3
2177;"2025-09-13";1000000.0;1822025;106;"2025-10-09";107;6
2178;"2025-09-29";40000.0;1832025;105;"2025-10-25";107;5
2179;"2025-09-14";1500000.0;1842025;101;"2025-09-30";107;1
2180;"2025-10-06";1440000.0;1852025;103;"2025-11-05";107;4
2181;"2025-09-14";1000000.0;1862025;104;"2025-09-28";107;3
2182;"2025-09-16";500000.0;1892025;104;"2025-10-12";107;4
2183;"2025-10-08";450000.0;1912025;103;"2025-10-28";107;1
2184;"2025-10-09";750000.0;1942025;102;"2025-10-29";107;2
2185;"2025-10-05";250000.0;1952025;101;"2025-10-31";107;5
2186;"2025-09-28";900000.0;1962025;105;"2025-10-27";107;6
2187;"2025-10-16";1100000.0;2012025;105;"2025-11-13";107;6
2188;"2025-10-20";250000.0;2032025;105;"2025-11-12";107;5
2189;"2025-10-02";180000.0;2062025;104;"2025-10-28";107;5
2190;"2025-09-29";2700000.0;2072025;105;"2025-10-26";107;6
2191;"2025-10-22";860000.0;2112025;104;"2025-11-04";107;3
2192;"2025-10-22";150000.0;2142025;104;"2025-11-11";107;5
2193;"2025-10-13";400000.0;2152025;103;"2025-10-28";107;1
2194;"2025-11-01";2200000.0;2172025;103;"2025-11-16";107;1
2195;"2025-10-29";280000.0;2182025;101;"2025-11-22";107;5
2196;"2025-10-30";1040000.0;2192025;103;"2025-11-15";107;1
2197;"2025-10-23";170000.0;2202025;105;"2025-11-17";107;6
2198;"2025-10-24";40000.0;2252025;104;"2025-11-11";107;3
2199;"2025-10-24";880000.0;2262025;102;"2025-11-20";107;5
2200;"2025-11-04";9500000.0;2302025;105;"2025-12-03";107;6
2201;"2025-10-29";1100000.0;2312025;102;"2025-11-21";107;2
2202;"2025-10-26";600000.0;2352025;101;"2025-11-15";107;1
2203;"2025-11-20";9000000.0;2392025;104;"2025-12-04";107;3
2204;"2025-11-13";40000.0;2422025;104;"2025-12-08";107;5
2205;"2025-12-02";532000.0;2502025;106;"2025-12-31";107;4
2206;"2025-11-24";560000.0;2512025;105;"2025-12-22";107;6
2207;"2025-12-10";1440000.0;2542025;102;"2026-01-02";107;2
2208;"2025-12-05";2200000.0;2552025;101;"2025-12-27";107;5
2209;"2025-12-02";650000.0;2572025;105;"2025-12-30";107;6
2210;"2025-12-04";560000.0;2662025;105;"2025-12-29";107;4
2211;"2025-12-13";20000.0;2712025;105;"2026-01-12";107;6
2212;"2025-12-10";500000.0;2732025;104;"2025-12-25";107;3
2213;"2025-12-22";9500000.0;2812025;103;"2026-01-07";107;1
2214;"2025-12-19";500000.0;2912025;102;"2026-01-11";107;2
2215;"2025-12-26";300000.0;2922025;104;"2026-01-23";107;6
2216;"2026-01-13";300000.0;2992025;104;"2026-01-31";107;3
2217;"2026-01-15";500000.0;3002025;103;"2026-02-09";107;5
2218;"2026-01-07";500000.0;3012025;102;"2026-01-29";107;2
2219;"2026-01-06";1450000.0;3052025;104;"2026-02-02";107;4
2220;"2025-12-31";40000.0;3062025;103;"2026-01-13";107;3
2221;"2026-01-16";350000.0;3152025;104;"2026-02-12";107;5
2222;"2026-01-13";560000.0;3162025;102;"2026-02-03";107;2
2223;"2026-01-27";500000.0;3222025;101;"2026-02-12";107;1
2224;"2026-02-17";750000.0;3302025;101;"2026-03-07";107;3
2225;"2026-02-17";1500000.0;3312025;102;"2026-03-10";107;2
2226;"2026-03-29";500000.0;3512025;101;"2026-04-12";101;3
2227;"2026-03-31";100000.0;3642025;101;"2026-04-12";101;2
